Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	HIFtarg	DPM_1A2A	speckleChangingPT2399	SigI	Normal	SigII	pIvsN	pIIvsN	pIvsII	SONdmso1	SONdmso2	SONpt2399-1	SONpt2399-2	RTTA_DPMfc	RTTA_DPMpadj	DPMup	RTTA_1A2A	RTTA_1A2Apadj	1A2Aup
PTPN13	629.008285807756	0.460707226396921	0.196030395263477	2.35018261212861	0.0187642027400573	0.384875962773011	No	1a2a	No	3.2555	18.11965	7.35765	3.2139555552e-74	2.58090295669e-36	2.00057054545e-35	1.00102	1.00102	1.00102	1.00102	-0.665465213682	0.00245871920453	No	-0.204757987285	0.348185120224	No
PTPN12	1407.60182883101	-0.0425785932205939	0.146413155496843	-0.290811253101583	0.771195678406911	0.954195389530512	No	ns	No	19.7836	11.35795	27.41625	8.1661116984e-19	8.58921025746e-26	2.80376213238e-13	98.8788	88.3124	133.025	53.7215	-0.185632991561	0.258211999214	No	-0.228211584782	0.163783280833	No
PTPN11	3304.32649269137	0.267849546426007	0.226880966608899	1.18057301337106	0.237772389501445	0.702339188249394	No	ns	No	14.5029	25.3433	24.3834	3.57300824489e-37	0.315286108613	2.47592147536e-38	509.187	498.064	511.522	564.799	-0.0781870908561	0.758167073072	No	0.18966245557	0.454871690233	No
PTPN14	174.730786790567	0.386092235044192	0.373861718712854	1.03271401087398	0.301737754797922	0.746013228101192	No	ns	No	3.453	6.8897	7.2334	1.56831735083e-34	0.370082464925	7.24169971609e-27	94.6522	21.4664	24.247	2.89184	-0.505847125285	0.227820572121	No	-0.119754890241	0.774093607914	No
LYAR	888.951281977842	-0.212911311335767	0.256898260549892	-0.828776772875105	0.407230733802256	0.816196446998714	Yes	ns	No	6.242	2.92245	4.9945	4.26816760362e-20	5.42663475376e-20	1.77148506448e-07	316.212	279.619	290.408	289.295	0.99969713899	0.000556026760386	Yes	0.786785827654	0.00657069235092	Yes
TFIP11	766.424876850229	0.024756302789065	0.110555531638388	0.2239264053294	0.822814568914526	0.965063868853999	No	ns	No	4.688	5.7515	5.7852	0.00485134241498	0.0540152626903	8.83265066568e-06	538.105	351.47	403.634	471.037	-0.0405451620888	0.746486099879	No	-0.0157888592997	0.899189053076	No
C2orf81	140.709865115999	-0.202167482533993	0.348617610410942	-0.57991184752739	0.561974065808305	0.884393179958995	No	ns	Yes	0.0181	0.051	0.0188	1.5768603251e-08	4.09140055998e-07	0.72003847613	962.539	875.116	718.845	804.6	0.556543123598	0.160289565948	No	0.354375641064	0.370692676699	No
TRAPPC6B	381.135425070622	0.482172018585824	0.220504736822298	2.18667419818015	0.0287663164792053	0.433107592813835	No	1a2a	No	0.6132	1.37985	1.4323	1.06988504264e-34	0.0750122100722	1.43568324065e-25	131.023	104.996	92.7614	119.122	-0.242779179707	0.329510617463	No	0.239392838879	0.332587476352	No
HLA-DQB1	102.357746536999	-1.06845829478668	0.466098483122418	-2.29234450116426	0.0218857718214661	0.404995972785397	No	dpm	No	50.7366	9.48365	44.0623	1.33713659642e-16	2.73194352733e-13	0.119079084305	515.971	464.141	379.276	461.805	0.382517951487	0.463030397602	No	-0.685940343299	0.190782865683	No
CDK7	676.626922006425	-0.163878666091032	0.293638413268194	-0.558096824822961	0.576778268682361	0.889967431976402	No	ns	No	13.4436	7.9982	9.84825	5.09063194453e-20	1.53504776855e-09	5.48574448661e-09	49.9399	106.331	59.394	50.3848	0.0405684167964	0.90188094166	No	-0.123310249295	0.707703761472	No
CDK9	726.304200151932	0.170173452059304	0.157345137327736	1.08152978191406	0.27946152028802	0.729326952663196	No	ns	No	23.8349	13.9465	15.61375	1.13756915013e-22	0.010292753286	3.08924210583e-25	1904.39	1631.67	1451.48	1776.7	-0.330153792511	0.0618497814655	No	-0.159980340452	0.363144923105	No
